Index	1,		2,		3,		4,		5,		6,		7,		8,		9,		10,		11,		12,		13,		14,		15,		16,		17,		18,		19,		20,		21,		22,		23,		24,		25,		26,		27,		28,		29,		30,		31,		32,		33,		34,		35,		36,		
11,	20,285494,	16,640945,	16,345163,	85,61729,	12,255658,	10,789609,	14,071502,	10,403807,	11,028807,	19,580761,	0,		11,100822,	11,86214,	11,152264,	88,49794,	89,47273,	92,44342,	92,24023,	92,24023,	26,918724,	19,27212,	90,918205,	92,05504,	93,05813,	92,24023,	87,31739,	16,355452,	16,73354,	18,667694,	16,67181,	15,694444,	25,3678,	18,30247,	14,264403,	18,605967,	18,034979,	
12,	18,914608,	16,51749,	15,9362135,	85,24434,	12,528293,	10,717592,	13,058127,	10,036008,	9,830247,	19,498457,	11,100822,	0,		13,076131,	11,023663,	88,16358,	89,14609,	92,4357,	91,94702,	91,94702,	26,792696,	18,549383,	90,67387,	91,69239,	93,06585,	92,02675,	86,77469,	15,789609,	15,666153,	18,39249,	16,234568,	15,002573,	24,979424,	17,692902,	13,69856,	18,197016,	17,145061,	
13,	21,867285,	16,152264,	16,712963,	86,265434,	13,230452,	12,865226,	16,538065,	12,716049,	13,786009,	21,015947,	11,86214,	13,076131,	0,		12,746914,	89,390434,	89,87397,	92,81636,	92,703186,	92,703186,	27,425411,	19,238684,	91,40432,	92,25309,	93,33076,	92,327675,	87,21194,	16,525206,	17,150206,	19,117798,	17,556583,	16,59465,	25,879631,	19,41358,	16,129116,	18,487654,	17,849794,	
14,	19,575617,	16,195988,	16,31173,	84,77366,	11,846707,	11,766975,	14,241256,	10,977366,	10,972222,	19,578188,	11,152264,	11,023663,	12,746914,	0,		87,572014,	88,137856,	91,44033,	91,458336,	91,458336,	25,985083,	18,549383,	90,31379,	91,141975,	92,65947,	91,612656,	86,10082,	15,7278805,	15,833333,	18,004114,	15,632716,	15,3549385,	24,151234,	17,574589,	15,128601,	18,325619,	17,242798,	
15,	84,75052,	86,548355,	86,6821,	20,38323,	87,96554,	88,20473,	89,12809,	87,926956,	87,96296,	90,25977,	88,49794,	88,16358,	89,390434,	87,572014,	0,		12,824074,	18,029837,	17,5,		17,5,		90,769035,	86,394035,	16,882715,	17,044752,	21,820988,	18,171297,	14,750515,	86,9753,	86,41718,	87,80093,	86,13683,	86,231995,	91,612656,	87,17593,	86,56378,	86,46605,	86,30916,	
16,	86,0751,	86,96502,	86,81585,	23,526236,	88,479935,	88,9249,	89,77881,	88,99691,	88,74743,	90,47582,	89,47273,	89,14609,	89,87397,	88,137856,	12,824074,	0,		14,143519,	13,330761,	13,330761,	90,97479,	86,12912,	12,083333,	12,888375,	18,197016,	13,829732,	18,222736,	87,857506,	87,38168,	88,78858,	87,11934,	87,02932,	92,31738,	87,77778,	87,391975,	86,46348,	86,71811,	
17,	88,96091,	89,64764,	89,603905,	28,834877,	91,47634,	92,391975,	93,21502,	92,24537,	92,08591,	93,078705,	92,44342,	92,4357,	92,81636,	91,44033,	18,029837,	14,143519,	0,		7,170782,	7,170782,	92,75977,	88,24331,	10,105453,	7,7057614,	11,610083,	7,8060703,	21,723251,	90,424385,	89,87397,	90,87191,	89,84568,	89,6785,	94,210396,	90,11574,	90,169754,	88,59567,	88,78344,	
18,	88,30247,	89,295265,	89,1358,	28,793726,	91,239716,	92,31738,	93,17387,	91,954735,	91,75411,	92,90638,	92,24023,	91,94702,	92,703186,	91,458336,	17,5,		13,330761,	7,170782,	0,		0,		92,299385,	87,80093,	9,562757,	7,5848765,	11,363169,	8,629115,	21,448046,	90,46811,	89,771095,	91,16512,	89,413574,	89,75308,	93,986626,	90,03343,	89,86883,	88,31019,	88,5108,	
19,	88,30247,	89,295265,	89,1358,	28,793726,	91,239716,	92,31738,	93,17387,	91,954735,	91,75411,	92,90638,	92,24023,	91,94702,	92,703186,	91,458336,	17,5,		13,330761,	7,170782,	0,		0,		92,299385,	87,80093,	9,562757,	7,5848765,	11,363169,	8,629115,	21,448046,	90,46811,	89,771095,	91,16512,	89,413574,	89,75308,	93,986626,	90,03343,	89,86883,	88,31019,	88,5108,	
20,	27,034464,	26,3143,	26,116255,	92,111626,	23,72428,	28,423353,	29,835392,	26,401749,	27,376545,	24,207819,	26,918724,	26,792696,	27,425411,	25,985083,	90,769035,	90,97479,	92,75977,	92,299385,	92,299385,	0,		23,15072,	92,22736,	92,43056,	93,69856,	93,20988,	90,33694,	26,010803,	24,511316,	25,03858,	23,587963,	25,352365,	16,409466,	23,623972,	28,052982,	25,25206,	25,213476,	
